#samples	GA8877_human_CD4-m1_0_0.bed	GA8879_human_CD4-m1_0_0.bed	GA8878_human_CD4-m1_0_0.bed	GA8880_human_CD4-m1_0_0.bed
#allmappedreads	67201089	66375777	69211973	68546002
#normalizationreads	11358617	11009311	17336907	15653396
#arguments	/Program/Python_script/rpkmforgenes_update.py -a /Project/annotation/hg18/Genes/refGene.txt -i GA8877_human_CD4-m1_0_0.bed GA8879_human_CD4-m1_0_0.bed GA8878_human_CD4-m1_0_0.bed GA8880_human_CD4-m1_0_0.bed -o Human_CD4_stim_refGene_RPKM.txt -readcount -exonnorm	time:Thu May 12 11:57:21 2016	version:19 Oct 2012
#GeneSymbol	transcriptID	GA8877_RPKM	GA8879_RPKM	GA8878_RPKM	GA8880_RPKM	GA8877_CD4TCell	GA8879_CD4TCell	GA8878_Stim1	GA8880_Stim2
KIF24+UBAP1	NM_001171201+NM_016525+NR_033243+NM_001171204+NM_001171202+NM_001171203+NM_194313	35.3008937588	39.2706872768	45.4376585005	49.8463050569	1098	1203	2388	2132
MCF2	NM_001171879+NM_005369+NM_001171878+NM_001171877+NM_001171876+NM_001099855	0.0255306059924	0.0713528644875	0.0713012695106	0.111155065104	1	3	4	6
SETD7	NM_030648	4.95940629468	6.21783432921	9.06500450266	10.54102482	395	480	1102	1157
GPR146	NM_138445	7.86687836038	11.9420828048	0.426775982963	0.509035067537	157	231	13	14
EPSTI1	NM_033255+NM_001002264	9.43273709888	8.86309060164	0.86447042712	10.6744773828	337	306	47	525
IGFALS	NM_001146006+NM_004970+NR_027389	0.0427580759226	0.273780642938	0.0560275957023	0.217186625601	1	6	2	7
MSANTD3+MSANTD3-TMEFF1+TMEFF1	NM_001198807+NM_080655+NM_001198805+NM_001198806+NM_001198812+NM_003692	4.07403387281	3.12555444202	9.28362941448	5.00572283506	82	85	402	199
ANAPC16+ASCC1	NM_001198800+NM_001198798+NM_001198799+NR_045564+NM_001242547+NR_038391+NM_001242546+NM_001242548+NM_173473+NR_038392	33.3179146131	31.4575725283	28.7470513061	27.3461165252	1256	1120	1556	1377
B3GAT3	NM_012200	21.7817090797	26.1260187352	24.0774410093	19.348138702	406	472	685	497
CLCN6+MTHFR+NPPA+NPPA-AS1	NM_005957+NM_001256959+NM_001286+NR_046428+NR_037806+NM_006172	19.3536377851	18.919712261	17.8513548838	28.2194528263	1118	1101	1150	1523
NNMT	NM_006169	0.055791431131	0.0	0.0	0.0	1	0	0	0
EFCAB14+EFCAB14-AS1	NR_038828+NR_038827+NM_014774	48.9648121075	49.8103800463	35.2448215708	49.2103206769	2976	2959	3482	4166
SCN8A	NM_014191+NM_001177984	0.492826748253	0.558072512199	0.191713073688	0.743160848433	64	71	38	133
SUMF1	NM_001164675+NM_001164674+NM_182760	4.26266884007	5.06490791131	2.46095715741	3.61375826407	103	115	90	119
BACH2	NM_001170794+NM_021813	78.4372426528	49.0976853749	126.677822359	87.4963248604	8210	4981	20238	12621
STOML1	NM_001256674+NM_001256675+NM_001256672+NM_001256673+NM_001256676+NM_001256677+NM_004809	3.28006620108	4.80645532196	5.62139586795	5.54543450854	69	98	185	143
DHRS4+DHRS4-AS1	NR_023922+NR_023921+NR_023923+NR_023924+NM_021004	17.6958534448	20.081102029	11.5754907386	11.3541842287	406	454	409	385
SLC35C1	NM_001145266+NM_001145265+NM_018389	4.0637211612	7.74489191757	7.65654521963	6.90488195513	163	297	463	377
ZNF611	NM_001161499+NM_001161500+NM_001161501+NM_030972	8.12993370799	7.09284096323	3.2967058978	5.4024718151	425	362	259	392
DPYS	NM_001385	0.0	0.0	0.0	0.0	0	0	0	0
PIWIL1	NM_004764+NM_001190971	0.0	0.0	0.0	0.0	0	0	0	0
MAP2K1+SNAPC5	NM_002755+NM_006049	28.9942791708	31.3881735492	40.9982561588	26.4846489095	701	717	1568	880
UBE4B	NM_006048+NM_001105562	20.0700443882	20.6737529879	22.3285786366	20.7634294185	1317	1295	2159	1813
DNAJB6	NM_005494+NM_058246	8.50819366377	7.32287935861	17.332077897	19.9185648714	189	159	782	816
RANBP9	NM_005493	27.574014252	24.6557038343	31.4435128137	29.120220501	975	845	1697	1419
FRAT2	NM_012083	16.2502600808	11.822603353	2.87748075978	2.2308661602	407	287	110	77
NT5C1B+NT5C1B-RDH14+RDH14	NM_020905+NM_001199103+NM_001199104+NM_001199087+NM_001199086+NM_033253+NM_001199088+NM_001002006	4.04208607407	4.0203380953	4.79410615538	3.23154556105	97	85	126	76
CEBPD	NM_005195	4.57436218314	0.145215342114	0.414966976802	0.10213252532	65	2	9	2
MRPL28	NM_006428	9.34447743622	7.48967234237	34.9118269694	20.7902849929	121	94	690	371
PPM1J	NM_005167	0.0	0.847908485345	0.0	0.0372718171456	0	16	0	1
APLP1	NM_005166+NM_001024807	0.0719565822025	0.55679728132	0.0	0.365498375245	2	15	0	14
ACTL7A	NM_006687	0.122873521737	0.0	1.24779672229	0.0	2	0	31	0
DEFB130+LOC100133267	NM_001195257+NM_001037804	0.366828678668	0.0	0.0	0.532365815777	1	0	0	2
DEFB130+LOC100133267	NM_001195257+NM_001037804	0.366828678668	0.0	0.0	0.0	1	0	0	0
TP53AIP1	NM_001195195+NM_001195194+NM_022112+NM_001251964	0.147964516183	0.0	0.0	0.107367890063	3	0	0	1
GLO1	NM_006708	6.23931444628	3.59599604883	17.6198710214	13.6135767547	145	81	625	436
SLC7A8	NM_012244+NM_001267036+NR_049767+NM_001267037+NM_182728	8.64593328212	3.19499463583	2.54472590438	0.7788538065	421	149	136	32
LAPTM5	NM_006762	494.393375532	408.177223806	99.0094632879	76.2328871913	12579	10066	3845	2673
CASP7	NM_001267056+NM_033340+NM_001267057+NM_033339+NM_033338+NM_001227+NM_001267058	7.57503976768	5.26563457928	3.4537850247	5.12083913632	197	155	157	213
SLC40A1	NM_014585	6.79644396009	18.8162076192	1.10031184073	1.75180873384	259	695	64	92
MRVI1+MRVI1-AS1	NR_034093+NR_034094+NR_046374+NR_046375+NM_001098579+NM_130385+NM_001100167+NM_001206880+NM_001100163+NM_001206881	0.0	0.0	0.277754810001	0.102542377168	0	0	3	1
FLJ22763	NR_033977	0.0	0.0	0.0	0.0	0	0	0	0
MRPS23	NM_016070	7.49392597	11.6279822588	67.9639144674	61.528925283	127	191	1758	1437
ADAMTSL2	NM_001145320+NM_014694	0.129850852986	0.645448181607	0.0141790584502	0.0157040055525	6	29	1	1
ALMS1	NM_015120	25.6717608364	20.0755883906	18.520044897	15.3653570947	3768	2856	4149	3108
STAU1	NM_017454+NM_017453+NM_017452+NM_004602+NM_001037328	34.3857332349	38.74048286	67.5833784531	67.5976337735	1374	1460	3966	3603
H2AFY	NM_138610+NM_001040158+NM_138609+NM_004893	34.9096273912	34.5665784567	64.323010023	51.7310716944	712	730	2093	1539
CCDC122+LACC1	NM_144974+NM_001128303+NM_153218	0.587786076742	0.542304503162	1.00710782888	0.981546004019	14	19	61	53
TAS2R40	NM_176882	0.0	0.0	0.118683970732	0.262896685545	0	0	2	4
NLRP5	NM_153447	0.0	0.0	0.0	0.0	0	0	0	0
ZFPM1	NM_153813	2.39044185971	3.16693589326	1.93988419177	1.30093706966	88	113	109	66
WDR63	NM_145172	0.0585559549882	0.0302069160268	0.0	0.0212450597231	2	1	0	1
DNAJC9-AS1+TTC18	NR_038373+NM_145170	1.95720693695	2.16374037734	0.305574182507	0.920726237494	76	81	15	43
SPIN3	NR_027139+NM_001010862	7.05994694315	10.7118572494	3.65763885221	3.28776160357	310	428	260	193
LINC00691	NR_026834	0.0392855324965	0.0810639861603	0.0	0.171041217102	1	2	0	6
LOC150622	NR_026832	0.0148363461956	0.0	0.00486016260326	0.0107657388924	2	0	1	2
GRIK1-AS1	NR_027021	0.483287578016	0.498621439574	0.0	0.0	6	6	0	0
ZSCAN18	NM_001145543+NM_001145544+NM_001145542+NM_023926+NR_027135	3.49034281336	8.72990358371	1.0163408993	1.14697236691	99	240	44	44
LINC00839	NR_026827	0.152712711751	0.118168512349	0.0500263744801	0.0277033367682	4	3	2	1
RPSAP52	NR_026825	0.0770243904853	0.0	0.302784303284	0.0558914269255	1	0	6	1
TMEM191A	NR_026815	1.61869234918	1.15975736073	0.117835362156	0.195762700472	36	25	4	6
AGSK1+LOC440297+LOC440300+LOC727849	NR_033579+NR_033738+NR_033936+NR_026811	1.51085231611	1.68133311337	2.0634237341	2.11384633275	74	75	132	122
AGSK1+LOC440297+LOC727849	NR_033936+NR_026811+NR_033579	2.1706899692	1.12793694406	2.14863928964	2.04188961036	102	51	133	115
AGSK1+LOC440297+LOC727849	NR_033579+NR_033936+NR_026811	1.4349686012	1.56648478723	1.88189405675	1.83592123022	70	63	124	105
AGSK1+LOC440297+LOC727849	NR_033936+NR_026811+NR_033579	0.0	0.0	0.0	0.0	0	0	0	0
LINC00472	NR_026807	0.0	0.0	0.0	0.0	0	0	0	0
FLJ13197+KLF3	NR_026804+NM_016531	131.208466328	99.693074899	8.86226534687	18.0217433707	8125	5961	810	1587
ATXN1L	NM_001137675	20.4188572731	18.3944988332	9.61096353602	17.1496582351	1829	1597	1314	2117
C17orf107+CHRNE+MINK1	NM_153827+NM_015716+NM_170663+NM_001024937+NM_000080+NM_001145536	20.3484906477	22.3481454135	8.25740848273	8.61932770905	1083	1192	653	611
MYEOV2	NM_138336+NM_001163424	43.624645986	55.5990799159	99.4534419672	81.5020987002	226	278	792	578
CCDC166	NM_001162914	0.0	0.0	0.0	0.0	0	0	0	0
TCF3	NM_001136139+NM_003200	16.6544002582	16.080829215	36.6609479342	26.1219249942	927	899	3115	2064
RUNDC3A	NM_001144826+NM_001144825+NM_006695	0.0477693317009	0.492849682543	0.438158294551	0.249668371617	1	10	16	10
ZNF234	NM_001144824+NM_006630	2.90911076203	5.04623321543	2.40753014715	3.86268119846	152	250	192	278
SLC26A11	NM_001166347+NM_001166348+NM_173626+NM_001166349	9.27916291073	11.7751628969	2.24413814418	4.31679683421	291	356	111	186
NUP210L	NM_207308+NM_001159484	0.308168532214	0.284478159251	0.215664346543	0.564927642662	20	18	22	52
FLJ37453+SPEN	NR_024279+NM_015001	53.796204243	56.0161159894	73.5593671952	72.7679976215	7371	7394	15535	13818
NLK	NM_016231	19.4342464589	24.5180179905	16.6617803252	16.8286573645	781	955	1022	932
WWC2-AS2	NR_024008	0.0404033402133	0.0	0.0	0.0	1	0	0	0
MIR5684	NR_049864	0.0	2.83850642424	0.0	0.0	0	2	0	0
SMC4	NM_001002800+NM_005496	6.71803306498	6.77190992672	13.3962591087	9.46259059784	392	383	1197	759
LOC255167	NR_024423+NR_024424	0.0	0.0	0.0210409021774	0.0233038354262	0	0	1	1
GPX4	NM_002085+NM_001039847+NM_001039848	38.2642000319	34.4981018101	42.426592656	26.9951426734	343	308	587	334
IFNLR1	NM_173065+NM_170743+NM_173064	1.37683679239	0.202931627553	2.21649474562	2.2122438921	70	10	172	155
SOWAHD	NM_001105576	0.166111091179	0.0	0.145107949121	0.0	3	0	4	0
COMMD5	NM_001081004+NM_001081003+NM_014066	11.4588298246	4.19797262689	19.2613505358	13.5660638766	183	61	412	262
GTF2H2B+GTF2H2C+GTF2H2D	NR_033417+NM_001098728+NM_001042490	4.48849378822	6.18838529072	17.2487388045	13.4661537951	224	300	1367	957
ZBTB14	NM_001143823+NM_003409+NM_001243704+NM_001243702	29.8845369323	28.0451963632	12.4266308495	12.9688751103	1244	1019	787	674
BCHE	NM_000055	0.0	0.0	0.0	0.0	0	0	0	0
ELL3+HYPK+MIR1282+PDIA3+SERF2+SERF2-C15ORF63+SERINC4	NM_005313+NM_025165+NM_001199877+NM_001018108+NM_001199875+NR_037673+NM_001199876+NR_037672+NM_001199878+NR_031695+NM_001258032+NM_001258031+NM_001199885+NM_016400	153.745655306	123.681153278	349.23083233	261.202646494	2434	2306	8320	6997
B4GALT3	NM_001199874+NM_001199873+NM_003779	10.8485668779	17.0867073659	16.167248774	21.9718958651	295	440	667	805
GLRX3	NM_001199868+NM_006541	5.40475362496	4.43411610097	19.2836872918	16.0654764495	89	75	463	372
KCNAB2+NPHP4	NM_015102+NM_001199861+NM_003636+NM_172130+NM_001199860+NM_001199862+NM_001199863	37.8073869385	44.3805802939	59.3158647287	49.0523282291	1680	1866	3868	2991
GRM5+GRM5-AS1	NM_000842+NM_001143831+NR_049724	0.0182615387523	0.0	0.0	0.0	1	0	0	0
GRM2	NM_000839+NM_001130063	2.30921648065	2.39898626844	0.275077960181	0.0	88	71	16	0
GRM3	NM_000840	0.0619992100878	0.127932671116	0.0	0.0	3	6	0	0
GRM1	NM_000838+NM_001114329	0.0	0.0	0.0	0.0	0	0	0	0
GRINA	NM_000837+NM_001009184	13.3765968144	10.619928146	16.5644711263	20.3767594805	282	217	533	592
ZNRF3	NM_001206998+NM_032173	0.800574697661	0.51267446027	1.32032412435	1.88484775981	58	36	146	197
ARFRP1+RTEL1+RTEL1-TNFRSF6B+TNFRSF6B	NR_037882+NM_016434+NM_032957+NM_003823+NM_001134758+NR_051954+NM_003224+NM_001267547+NM_001267545+NR_051955+NR_051956+NR_051957+NR_051958+NM_001267546+NM_001267544+NM_001267548+NM_001267549	17.4460785003	29.6612536447	22.8950092606	29.126786926	506	916	1414	1348
TMPRSS4-AS1	NR_038318	0.230468290913	0.0	0.0	0.33447065229	1	0	0	2
ASB3+ERLEC1+GPR75+GPR75-ASB3	NM_001201965+NM_016115+NM_145863+NM_001164165+NM_015701+NM_001127398+NM_001127397+NM_006794	19.948458231	25.2483218046	12.5228919139	16.9978513732	566	675	498	637
ASB11	NM_001201583+NM_001012428+NM_080873	0.0345878281765	0.142740955585	0.0226608986897	0.0501961226968	1	4	1	2
POGZ	NM_001194937+NM_001194938+NM_015100+NM_207171+NM_145796	46.4194589334	46.4243336509	34.2259729842	33.7773351716	3441	3349	3897	3479
LRRFIP1	NM_001137550+NM_001137551+NM_001137552+NM_001137553+NM_004735	182.697373443	229.298972218	291.746506741	271.023047076	8587	10347	21029	17599
CNP+DNAJC7+NKIRAS2+ZNF385C	NM_033133+NM_001144766+NR_029431+NM_003315+NM_001001349+NM_001144929+NM_001144928+NM_001144927+NM_017595+NM_001242704	71.7479863855	75.9604580704	164.682638262	169.561432476	1947	2002	5963	5553
A1CF	NM_138933+NM_138932+NM_001198818+NM_001198820+NM_001198819+NM_014576	0.123476687692	0.00979956807558	0.0808981904285	0.186089670284	13	1	13	27
CASP6	NM_032992+NM_001226	9.85227144337	10.0620855838	3.47263153375	2.65801022712	183	184	100	61
REEP6	NM_138393	1.21830931403	0.992340092781	0.378094455921	1.3958607703	19	15	9	30
MYL10	NM_138403	0.0	0.0	0.0571659165268	0.0633140679757	0	0	1	1
SP140L	NM_138402	47.7812203202	52.7017391944	18.4629197707	25.5487689373	1448	1548	854	1067
SYNGR1	NM_004711+NM_145731+NM_145738	2.16228880969	0.651102951762	0.26753014365	0.0	117	12	18	0
PTPRR	NM_130846+NM_002849+NR_073474+NM_001207016+NM_001207015	0.0	0.0	0.0	0.0	0	0	0	0
WWOX	NM_130844+NM_016373+NM_130791	13.1936179822	1.51079921144	4.38309739535	3.45345992358	140	41	100	128
UBE3A	NM_130839+NM_130838+NM_000462	8.61635606849	6.53657170243	13.0281795616	12.3084691474	515	377	1180	1009
SPPL3	NM_139015	8.6994096286	7.23753757473	4.80553668268	4.27027244034	408	329	344	276
PGLYRP3	NM_052891	0.0	0.0	0.0983468197366	0.326771839322	0	0	2	6
FAM122B+FAM122C	NM_145284+NM_001166599+NM_001170757+NM_001166600+NM_001170756+NM_001170780+NM_001170782+NM_001170784+NM_138819+NM_001170779+NM_001170783+NM_001170781	16.182619653	21.3463302592	12.4062834156	9.64149551722	679	855	978	632
OSR2	NM_053001+NM_001142462	0.0	0.0	0.0	0.0	0	0	0	0
CSMD3	NM_052900+NM_198124+NM_198123	0.95356290089	0.767517407757	1.02795015117	0.696843834031	141	110	232	142
PNPLA5	NM_138814+NM_001177675	0.0	0.123974790481	0.0262422246476	0.0	0	3	1	0
ATP8B3	NM_138813+NM_001178002+NR_047593	0.226537752967	0.84954717086	0.0247367804418	0.134133010205	12	57	2	11
C7orf31	NM_138811	2.12230047499	2.54199275305	1.32653754818	0.90276492767	87	101	83	51
MBOAT2	NM_138799	0.300868932235	0.429805346179	0.106141658367	0.134350987566	13	18	7	8
TAMM41	NM_138807	8.78280909065	6.74173525444	5.89233236334	9.07528590309	125	93	128	178
CMTM7	NM_138410+NM_181472	55.4110533429	62.1025266828	34.0461859929	28.9824717479	812	884	767	599
ANTXR2	NM_058172+NM_001145794	11.1115968042	20.7369369137	2.00199949741	3.91343643696	1047	1750	224	457
TTN+TTN-AS1	NR_038272+NR_038271+NM_133378+NM_133437+NM_133432+NM_001256850+NM_001267550+NM_003319+NM_133379	23.2704533018	27.9494468249	5.03988568547	9.00921313493	19143	21475	3574	5734
TRIM5	NM_033093+NM_033092+NM_033034	7.1228868661	9.96775823423	3.10547660751	4.77390697509	283	381	183	261
ATP6V1G2+ATP6V1G2-DDX39B+DDX39B+MCCD1	NM_001011700+NM_080598+NM_004640+NR_037853+NR_037852+NM_130463+NM_138282+NM_001204078	190.683502588	212.433206191	179.489494228	195.976458484	4383	4720	7138	6187
ARL8A	NM_138795+NM_001256129	8.68127101029	12.2021257677	12.6916950352	11.8741930864	177	239	391	329
PGLYRP2	NM_052890	0.0	0.965786246598	0.275982821892	0.135850918846	0	20	9	4
CARD16	NM_052889+NM_001017534	15.7076564057	25.0932116901	2.15782827937	3.30909382036	127	196	26	36
SLC16A7	NM_001270622+NM_001270623+NM_004731+NR_073056+NR_073055	8.47802982639	7.20568163761	9.81446313572	10.4855858853	1159	942	2014	1932
GLIPR1L2	NM_001270396+NM_152436+NR_072995	0.546714203938	0.405134324997	0.0652493323252	0.284938155316	12	8	2	8
APOBEC3A+APOBEC3A_B+APOBEC3B	NM_001193289+NM_145699+NM_001270406+NM_001270411+NM_004900	2.7109935296	5.34645375793	4.46326385041	3.71384057267	44	74	114	86
TRIM43	NM_138800	0.0541777712767	0.0	0.0	0.0	1	0	0	0
SSR3	NM_007107	13.7412673381	17.061591268	31.2927088556	33.8502121751	580	698	2016	1969
KALRN	NM_003947+NM_001024660+NR_028136+NM_007064	1.56119012328	0.724661527163	0.340948180175	0.115833477957	102	44	34	10
TIMM13+TMPRSS9	NM_182973+NM_012458	9.29587717613	8.32606113192	57.6276234151	59.4474410519	222	196	1856	1744
CIR1	NM_004882	34.5183109104	36.9813181481	18.5619612049	23.4086551835	703	730	577	657
PSD4	NM_012455	40.2019168536	46.3804805667	57.6460693847	45.2473942811	2301	2573	5036	3569
TFB1M+TIAM2	NM_012454+NM_001010927+NM_016020	4.6161438963	5.19673409639	11.9089924482	10.088036867	158	179	800	663
LOC642852	NR_026943	2.16257398257	2.90308066948	0.635973813296	0.820281689051	176	229	79	92
EXOC7+ZACN	NM_180990+NM_001013839+NM_001145299+NM_015219+NR_028133+NM_001145297+NM_001145298	32.1765560443	37.53711133	33.2972621842	21.8372354492	1716	1686	2614	1572
BCL2L12+IRF3	NM_001571+NM_001197123+NM_001197127+NM_001197126+NM_001197125+NM_001197124+NM_001197128+NM_001197122+NR_045568+NM_138639+NM_001040668	87.9551235179	106.411441374	68.5902442143	57.2949550278	1522	1859	1547	1259
IRAK1	NM_001569+NM_001025243+NM_001025242	12.6125532335	12.2640426175	71.0157281288	43.4878753579	469	470	4032	2281
IRAK2	NM_001570	2.84241982484	1.49248636497	1.9454044231	2.54135988846	112	57	117	138
EIF3E	NM_001568	61.3586612197	41.1395160507	65.2155826706	39.3131659	1051	683	1705	928
INPPL1+PHOX2A	NM_001567+NM_005169	14.694930486	15.084116618	14.6188949484	10.0940618171	787	783	1195	745
KLHL23+PHOSPHO2+PHOSPHO2-KLHL23	NM_001199285+NM_001199288+NM_001199287+NM_001199286+NM_001199290+NM_001008489+NM_144711	1.40552654301	1.89180883217	1.71405313984	3.04025201326	32	35	93	146
ZNF37A	NM_003421+NM_001178101+NM_001007094	14.245339156	13.5243679927	29.1351694441	28.7872482231	1108	1043	3387	3024
PFDN5	NM_002624+NM_145897	188.837033261	126.210691443	126.64612978	111.796826708	1355	898	1389	1128
TNNT1	NM_003283+NM_001126133+NM_001126132	0.0	0.0	0.0	0.0	0	0	0	0
TULP2	NM_003323	0.700309259401	0.20643681021	0.0	0.108893002138	14	4	0	3
TULP1	NM_003322	0.0	0.0	0.385637887706	0.335588749027	0	0	14	11
TRIP11	NM_004239	10.4170631252	13.7573492462	8.62924033486	12.1638473868	957	1225	1210	1540
