V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	logFC	logCPM	PValue	FDR
LOC100130231	NR_038447+NR_038446	353.143536789	424.53165597	1.31902717762	2.23922929482	7212	8755	122	187	-6.23300956236763	8.49671049028845	1.31812837894642e-57	2.21800448380408e-54
STRIP2	NM_020704+NM_001134336	0.378735886418	0.532844328271	41.3280135231	33.978137129	22	30	3603	2750	6.36604135090848	6.60732932545394	2.51875917763221e-54	3.93556121505032e-51
TXNIP	NM_006472	720.041922861	608.796047418	26.6626561074	26.3654747734	23939	19618	1353	1208	-4.64481712042655	9.98203230579216	1.12506278254935e-51	1.64071655788448e-48
LTA	NM_001159740+NM_000595	16.6052222615	32.1051156467	1100.49973711	1336.0921845	264	481	28267	29624	5.72769342385283	9.81094932389306	3.55098351565413e-51	4.85486027530838e-48
SEMA7A	NM_001146029+NM_001146030+NM_003612	1.10075766921	2.03840496562	85.4552995478	111.729751314	39	70	4635	5834	6.03633228059021	7.34547219352153	7.52259595633309e-47	9.67981097322272e-44
EGR2	NM_001136179+NM_001136178+NM_000399+NM_001136177	2.93824564363	3.56829393447	145.379725096	279.857551185	93	112	6973	12153	6.00458154557321	8.22347816418638	3.22857951957018e-46	3.9236209439221e-43
JUN	NM_002228	87.2440644969	84.2719415548	3.00292232656	2.65301759045	3293	3083	173	138	-4.91581303657037	7.20073913424093	5.29038568257043e-46	6.09090456874885e-43
UTRN	NM_007124	75.6450212683	74.8446777149	3.54963506381	2.57467872161	10681	10243	765	501	-4.61176866952645	8.92557787605299	3.33298823487729e-45	3.64545588189704e-42
TSC22D3	NM_198057+NM_004089+NM_001015881	323.284171591	142.612333043	1.47746951269	1.53818803566	6569	2722	50	47	-7.13310625202672	7.70730682463197	5.98013003727203e-44	6.22930212215836e-41
SCML4	NM_198081	54.9854811054	43.0331548198	1.4369237885	1.16895133394	2833	2149	113	83	-5.22698998303073	6.83604556019585	1.82316945310209e-43	1.81281053575492e-40
VDR	NM_001017535+NM_000376+NM_001017536	0.586547437796	1.17127270511	45.0360949215	52.4196720236	31	61	3653	3843	5.79340557292574	6.86312577070733	2.12507976842048e-43	2.02113564931296e-40
NAMPT	NM_005746	3.53616101544	3.74749730127	110.651700744	82.29182754	184	189	8788	5901	4.73374148706758	7.84680540234516	2.22037536998186e-43	2.02377963409805e-40
IL10	NM_000572	1.56729740418	1.84006291237	79.4212149334	137.297430909	29	33	2243	3501	5.98815296840872	6.48781894998774	1.46514578010259e-42	1.28200255758976e-39
SLC7A5	NM_003486	8.17794555427	15.8151590195	422.160163996	397.927899854	422	791	33250	28298	5.10692166321577	9.90754580299865	3.29183071397049e-42	2.76956911031171e-39
WARS	NM_213645+NM_004184+NM_213646+NM_173701	6.849632853	10.1414588317	235.476063483	269.912544594	218	323	10250	10646	4.71870386814674	8.36798220123012	4.48142397853594e-42	3.63078331594347e-39
CALCOCO1	NR_026554+NM_020898+NM_001143682	102.151043757	95.7801022937	4.01075250769	4.10900877991	3209	2881	194	175	-4.60008916577312	7.14587349069662	5.65022009079513e-42	4.4142344459337e-39
IRF4	NM_001195286+NM_002460+NR_046000	9.49179492081	15.4230476389	388.909417716	710.786363375	574	904	35929	59355	5.47125589532518	10.5477519054459	2.3567485746324e-41	1.77771983000289e-38
EPHX1+TMEM63A	NM_001136018+NM_000120+NM_014698	120.98119141	141.171363236	4.62772562419	5.89076095888	5172	5799	289	386	-4.5678747818214	7.99600020619665	1.51755373501077e-40	1.10654959844536e-37
IL1R1	NM_000877	0.7356009805	0.758940300835	28.7050256107	25.9076727591	41	41	2442	1990	5.19333375484656	6.11255668547028	1.93549700564595e-40	1.36577409672597e-37
SLC43A3	NM_199329+NM_017611+NM_014096	5.04187408908	11.4450648502	357.780601999	362.980548395	156	330	15920	14563	5.41454230199282	8.88844528442318	2.12557139394139e-40	1.45302732007712e-37
CCDC24+SLC6A9	NM_152499+NM_006934+NM_201649+NM_001024845+NR_048548+NM_001261380+NR_048549	0.231050192403	0.102163288742	26.4781626272	26.6272895268	7	3	1241	1245	7.37542936429008	5.25804241990992	3.18634258492286e-40	2.11215891046023e-37
HSPD1+HSPE1+HSPE1-MOB4+MOB4	NM_199440+NM_002156+NM_002157+NM_001202485+NM_199482+NM_015387+NM_001204094+NM_001100819	58.5914062534	51.2676940285	986.732403511	790.713240555	1330	1186	32536	24789	3.94843794267205	9.85109010253545	7.67484673130927e-40	4.93786094845265e-37
IL9	NM_000590	0.148965953172	1.84430855823	262.831376524	165.4927963	1	12	2693	1531	7.75253111808598	6.001348591494	1.13206906023754e-39	7.07543162648465e-37
TNF	NM_000594	15.2425520682	34.9771741718	1105.53544802	1636.15235457	290	645	32104	42899	5.7807204839774	10.1904931409103	3.96258089747025e-39	2.40781825367116e-36
PIK3IP1	NM_052880+NM_001135911	228.77606547	143.722802511	4.94470152544	6.8847309795	6366	3893	212	264	-4.97696501608695	7.88499204184207	1.01554911462887e-38	6.00409104932608e-36
MYOF	NM_013451+NM_133337	0.129392825286	0.440544162883	21.1087919372	21.7922575678	10	33	2490	2322	6.24423438387986	6.21485769304358	4.79171230792662e-37	2.75838701936565e-34
ATM	NM_000051	50.6791078696	43.6923108404	2.19805927569	3.01270363157	7568	6324	501	620	-4.17880677501646	8.3545724109311	6.47065849299653e-37	3.62937575728972e-34
RAP1GAP2	NM_001100398+NM_015085	8.6070042726	8.79773918884	0.0435784298697	0.0386122058552	647	641	5	4	-7.67117854808761	4.85542664039764	8.21699526363675e-37	4.49366928480135e-34
MEGF6	NM_001409	13.3732937904	15.2750474274	0.441965769217	0.326332570819	1130	1251	57	38	-5.20552159274825	5.77205496200589	1.72397304511472e-36	9.19802691753281e-34
HIVEP3	NM_024503+NM_001127714+NR_038261+NR_038260	14.6816163941	24.8467782038	183.250359089	181.109388091	1334	1925	38011	33842	3.9057608069816	10.1840370890697	1.08051958997128e-35	5.6277061977671e-33
FYB	NM_001465+NM_199335+NM_001243093	273.491639217	232.154394579	19.7078521181	20.3353330554	14629	12036	1609	1513	-3.64965443572286	9.32819415816448	1.2069119110091e-35	6.13981350077305e-33
FAM65B	NM_014722+NM_015864	273.345396749	279.937854228	7.24250332183	13.515901205	11862	11486	635	1002	-4.37485118695994	9.0938125245846	1.24454212153329e-35	6.18735429739562e-33
PLAGL2	NM_002657	20.6866459147	20.1545980548	241.755974918	232.324580582	1329	1255	23706	20569	3.54107382553398	9.51060885923721	1.76882978337782e-35	8.5984781136422e-33
IL12RB2	NM_001559+NR_047583+NR_047584+NM_001258216+NM_001258215+NM_001258214	3.91131448044	5.86061932448	91.3768717868	104.702472504	178	258	6278	6465	4.31610212414883	7.6716857333504	2.31971272284372e-35	1.10312425678709e-32
SLC1A5	NM_001145145+NM_001145144+NM_005628	3.89172904533	9.35827711862	266.799500699	450.780955051	127	296	13289	12006	5.34527545665498	8.62069374244361	4.35125846297798e-35	2.02518678463071e-32
PBXIP1	NM_020524	99.90032145	126.154251021	5.35513651245	7.04939505764	3630	4443	297	353	-4.18287184818704	7.5713159907243	4.79593138768566e-35	2.18564581470049e-32
SLC29A1	NM_001078174+NM_004955+NM_001078177+NM_001078175+NM_001078176	1.25539607466	3.95284418311	283.678091076	188.350978204	31	96	10358	6190	6.45560976570462	7.97850099367515	1.60939122047411e-34	7.18478223425943e-32
EPHA4	NM_004438	14.6454088707	16.6268135357	0.50883789342	0.563563027237	1056	1162	56	56	-4.85804227358047	5.68030560428974	1.66441643928681e-33	7.28182192187979e-31
TNFSF14	NM_172014+NM_003807	1.82527045594	5.05320789057	165.629326664	154.160606428	60	161	8174	6882	5.53074112630635	7.86651604089096	4.58259581123423e-33	1.96557418374017e-30
XIRP1	NM_001198621+NM_194293	0	0.0452350566896	6.92951752845	10.7942094405	0	3	775	1090	8.64229246025281	4.85068415122509	4.79581626207602e-33	2.01747078332525e-30
CHAC1	NM_024111+NM_001142776	0.741380093191	0.191225676827	45.2133484555	58.9973423826	13	3	1180	1429	6.78306533541974	5.33702231478432	6.74271694433326e-33	2.78296100296774e-30
TPM2	NM_213674+NM_003289	80.06919983	63.3212604991	2.00075871472	1.85375294423	1153	874	41	41	-5.17680726009152	5.54113115473489	8.20501260243104e-33	3.32378982737369e-30
IL2RA	NM_000417	18.7794373541	36.7734825352	560.57251478	829.457681093	686	1302	31255	41756	4.65370829585744	10.1818494411626	8.54632007953779e-33	3.39910457708889e-30
RAB37	NM_175738+NM_001163989+NM_001006638+NM_001163990	26.7130979835	26.9282098769	0.288422049878	0.532402708383	774	727	12	20	-6.08551883925974	5.09004343156668	9.77186076125694e-33	3.81713310986599e-30
STIP1	NM_006819	23.3997018719	25.2563853946	279.413234451	295.502921761	585	612	10662	10181	3.56703102711664	8.42489958997201	1.15788192387889e-32	4.44362580435976e-30
GPA33	NM_005814	25.2485290147	30.7001766878	0.206517757879	0.548948610848	801	944	10	24	-6.2103462483719	5.30519775833287	1.64496680939397e-32	6.20407740611951e-30
ARRDC3	NM_020801	29.6425092207	33.8137674686	1.31690446446	1.65812576433	1401	1549	95	108	-4.40992265680043	6.10880182270383	1.73661471635076e-32	6.43871981697845e-30
EVI2B	NM_006495	173.518247714	192.910303271	10.9000083508	14.1537264317	3932	4237	377	442	-3.86698451732726	7.60674382223797	2.07748425802298e-32	7.57416135737543e-30
SRM	NM_003132	139.907816851	134.642855288	1797.6985529	1393.10048213	2023	1887	39675	27760	3.54436369601145	10.111025890033	2.2597566324736e-32	8.1036354648131e-30
PNRC1	NM_006813	195.559402486	236.087059238	6.92273084976	12.9684605515	4738	5544	256	433	-4.43836614958034	7.90791533544086	4.02053368028714e-32	1.4185350686497e-29
IL7R	NM_002185	338.605181591	268.883047748	24.476556496	28.067250209	17692	13617	1952	2021	-3.53082184419545	9.56894838360576	4.36545330868382e-32	1.51578239884855e-29
CCL3	NM_002983	3.31804817807	6.96075877644	1164.11530533	379.852353119	30	61	16065	4733	7.24793168547206	8.28386191829001	6.30292121413106e-32	2.1543187743612e-29
NOLC1	NM_004741	37.8236136298	41.5621915354	436.325335533	381.209611833	1691	1801	29774	23487	3.37054267339374	9.78861558320768	6.73128825871265e-32	2.26533739475906e-29
AQP3	NM_004925	75.4282853846	101.901005044	4.53181199198	5.05334922445	1603	2099	147	148	-4.20164375022367	6.44606698661705	1.1370157960254e-31	3.76851826334175e-29
HK2	NM_000189	4.12081032057	4.61012135025	53.1671393081	57.5252269463	332	360	6538	6387	3.66871984820972	7.72906343089449	1.61218035726845e-31	5.26364855451452e-29
SCD	NM_005063	1.83548502725	0.913637675035	36.7411973753	44.267753583	114	55	3483	3789	4.87426019101694	6.84292437938285	2.4774290335711e-31	7.9696706043188e-29
KLHL24	NM_017644	12.8790498859	13.0149844865	0.291235693463	0.496913481371	1072	1050	37	57	-5.03726496798045	5.61105038161324	2.94461061215981e-31	9.33526915086895e-29
PYCR1	NM_153824+NM_006907	0.307827858536	0.397032427602	41.6285036068	25.1626219089	6	9	1486	811	6.66904425072925	5.13304303020003	3.3203148421191e-31	1.03759838816222e-28
CSDA	NM_001145426+NM_003651	3.70173601872	4.46338554194	113.023214292	72.2658240192	83	97	3868	2233	4.51241145487459	6.58558436907949	4.3493980195347e-31	1.34004340390594e-28
CSF1	NM_000757+NM_172212+NM_172210+NM_172211	5.58809702732	6.17847722954	79.5091716055	95.4433131346	223	292	5249	5675	3.85512736370008	7.47682408143692	8.62832051866341e-31	2.62145154646892e-28
SPRY4	NM_001127496+NM_030964	0	0.0551500889451	11.8255930181	8.61094389704	0	3	1013	666	8.46915493623454	4.67941343643663	9.20922442204362e-31	2.75961348263293e-28
VSIG1	NM_182607+NM_001170553	19.2796149221	16.8713255832	0.165960258306	0.265502119449	700	582	9	13	-6.39553964694579	4.85888871943748	1.26783323898513e-30	3.74781785172968e-28
TUBA1C	NM_032704	53.7983873343	47.1999887763	722.026507428	531.721327391	949	807	19440	12926	3.63866423027171	9.04365467154536	1.38608053163613e-30	4.04273488393872e-28
FKBP4	NM_002014	15.6733207603	11.2174484842	188.906811165	174.045617117	666	462	12252	10192	3.75526416956884	8.51382146475202	1.42061953474867e-30	4.08895425297727e-28
NLRP1	NM_001033053+NM_033004+NM_014922+NM_033006+NM_033007	115.772721665	112.637496498	10.3345037359	11.0188172185	7249	6789	983	943	-3.42021443901251	8.42090422139961	1.58927512767794e-30	4.51498615817597e-28
PSAT1	NM_021154+NM_058179	0.81597009179	1.99387748398	60.3815458398	47.523388144	19	45	2258	1593	5.34331957351944	5.90266240029178	2.94634892636406e-30	8.26299779028381e-28
TUBA1B	NM_006082	138.641133161	128.523410448	2108.8905985	1373.79544091	2759	2479	64056	37676	3.71087171511554	10.6868231494699	3.1495092193527e-30	8.72095116118233e-28
FAM13A+FAM13A-AS1	NR_002806+NM_001265580+NM_014883+NM_001015045+NM_001265578+NM_001265579	40.887178026	95.8559103841	1.17898090179	1.70167813416	1974	4795	86	114	-5.62498256388633	7.26853975727045	3.55290352944504e-30	9.71497058832628e-28
EGR3	NM_001199881+NM_001199880+NM_004430	0.506641782856	0.974153723458	26.450964271	58.6276274619	22	41	1783	3592	5.87626900864996	6.40077853881365	4.3094425023144e-30	1.16381549059417e-27
PAICS	NM_006452+NM_001079524+NM_001079525	16.238635785	19.272412999	204.454279497	181.832278627	612	704	11761	9444	3.45018650775842	8.4541376502744	9.83784266040043e-30	2.62442449019829e-27
CDC6	NM_001254	0.403715786618	0.773546383494	77.4425154503	29.8180641294	14	26	4099	1425	6.52072884535267	6.38389955762989	1.02290575230871e-29	2.69591124478953e-27
THEMIS	NM_001164685+NM_001164687+NM_001010923	31.995507099	28.8254823918	1.55167165459	1.98294551229	1435	1282	104	120	-4.14905770589931	6.00312751985056	1.42350834842193e-29	3.70705299068211e-27
VDAC1	NM_003374+NR_036625+NR_036624	13.7308342341	15.7892760682	169.587646124	185.271506293	323	360	6089	5497	3.52754903506755	7.57991257975532	1.76094661187288e-29	4.53184789820226e-27
DHCR24	NM_014762	1.86923423415	1.29275874616	28.4633846652	37.8295204067	91	61	2115	2538	4.38577423556711	6.22203642925873	1.87679328454329e-29	4.77382012783541e-27
SORL1	NM_003105	96.415128117	88.5309706997	9.82454077011	8.20308096908	12017	10695	1869	1409	-3.35407350210848	9.12069488317278	1.96191104406042e-29	4.93296598722088e-27
EBNA1BP2+WDR65	NM_001159936+NM_006824+NM_001195831+NM_001167965+NM_152498	14.7895159695	20.235867856	259.731054861	218.326181164	233	309	6246	4741	3.77952677118707	7.47988799708457	2.65180248566967e-29	6.59183856523002e-27
FHIT	NM_002012+NM_001166243	87.0597675763	61.4527413274	1.28297482355	2.13143670542	1074	735	24	36	-5.45367641035754	5.37051171772526	3.02028563500369e-29	7.42345486131525e-27
ITGA6	NM_001079818+NM_000210	94.3938052808	64.7499268015	5.99145150339	5.17369583584	6207	4101	601	463	-3.83683932404236	7.94431173730295	4.07799241075278e-29	9.91178710946856e-27
CACNA1I	NM_001003406+NM_021096	4.03815424928	5.65292311977	0.0291374064334	0.0387253351712	454	616	5	6	-7.11888192083915	4.5916926173075	4.1650977371759e-29	1.00122541759036e-26
LY9	NM_002348+NM_001033667+NM_001261457+NM_001261456	61.4825053203	56.7755120632	4.41851005232	3.66104960732	1694	1472	162	143	-3.93147818393906	6.23601463077962	4.73207858570013e-29	1.12515455502381e-26
HSP90AB1	NM_001271970+NM_001271969+NM_001271971+NM_001271972+NM_007355	235.527245519	198.524619679	2000.87253122	1985.86813397	7034	5759	91118	81728	3.1992995997735	11.5063676606762	5.71494280336892e-29	1.34424057874941e-26
EVI5	NM_005665	0.558939251825	0.392628702926	14.7415014582	11.3995170539	47	32	1892	1321	4.77847075295454	5.65853090262754	6.45895039516146e-29	1.50308021163997e-26
ADD3+LOC100505933	NR_038943+NM_019903+NM_016824+NM_001121	121.657684922	122.606762648	12.7846992864	11.5190841732	6148	5973	985	801	-3.32188039401667	8.21776262451857	1.01637004972782e-28	2.34032577239959e-26
SDC4	NM_002999	1.51674943515	2.67767194867	43.0394788103	47.9129209406	45	77	1949	1959	4.44601707695744	5.96333693600904	2.25447623197412e-28	5.13715287233687e-26
NOP16	NM_016391+NM_001256540+NM_001256539	19.4216884218	20.9830886511	242.365783522	231.005781364	216	228	4197	3614	3.57847301819527	7.00653288171942	2.74230511576663e-28	6.18432210385517e-26
CCL4	NM_002984	5.0157082104	4.35776654837	694.24037433	205.826820792	38	32	8028	2149	6.59213869359769	7.25731275398412	4.38018235069966e-28	9.77719274709746e-26
SLC7A1	NM_003045	11.8336337882	14.9923222319	126.986450283	122.887104868	987	1212	16166	14125	3.22653323047401	8.99092335215488	5.68888380665358e-28	1.25701346737926e-25
TCP11L2	NM_152772	49.6161397231	53.2379871237	0.910195826034	2.24659322715	1250	1300	35	78	-5.02893258443328	5.87607854183516	6.8009611533318e-28	1.48771025229133e-25
LDLRAP1	NM_015627	144.371761968	90.3679774304	7.74312826288	7.18285697236	4813	2920	394	330	-3.97511951153454	7.52116075489547	7.77747497553876e-28	1.68447787217733e-25
SLC39A14	NM_001128431+NM_001135154+NM_015359+NM_001135153	1.5198527588	2.06860429488	25.9118652473	31.9790571314	81	106	2130	2286	4.0087900543258	6.16307100873097	9.33147480426388e-28	2.0012354053262e-25
DCTPP1	NM_024096	5.8954606021	4.29830929831	122.931373334	88.8670605065	75	53	2387	1558	4.37784832557586	5.96762445686342	1.13934807777186e-27	2.41973196128733e-25
IL13	NM_002188	0.618057648145	0.850223368105	37.2088134823	55.3128884494	9	12	827	1110	5.96857811400065	4.92263828942918	1.40412801258986e-27	2.95339425725031e-25
PKM	NM_002654+NM_001206797+NM_001206799+NM_001206798+NM_182471+NM_001206796+NM_182470	115.120437501	119.743675791	1048.8176364	919.670557706	2718	2681	36795	29447	3.05697863706672	10.1341726061505	1.57794406976153e-27	3.28738347866985e-25
TCF7	NM_003202+NM_213648+NM_201632+NM_201634+NM_001134851+NR_033449	549.335438363	484.725008103	57.4002625372	66.7058488345	18852	16113	2886	3092	-3.09971237721483	9.76769217154088	3.26492178331573e-27	6.73775132170109e-25
TSPAN32	NM_139022	48.754088142	45.2180629342	1.25756707359	0.557126987681	762	685	30	12	-5.66648471978236	5.0440878887346	3.4444806764119e-27	7.04187054172994e-25
DPYD+DPYD-AS1	NM_000110+NR_046590+NM_001160301	28.2160704815	29.7200577269	1.56716810803	1.07506223464	1009	1151	95	59	-4.37231519622745	5.66115646588084	5.84357616049305e-27	1.1835947084332e-24
TENM1	NM_001163278+NM_001163279+NM_014253	11.9282010409	10.0908981498	0.667680318253	0.848675106779	1744	1430	149	171	-3.85923824609824	6.24428932665569	6.22245159040163e-27	1.24877182146822e-24
LDHA	NM_001135239+NM_005566+NM_001165416+NR_028500+NM_001165415+NM_001165414	104.517421085	106.157679572	822.66175575	876.174627688	2172	2210	25936	24506	2.96977555796279	9.75555560632305	6.39996383882498e-27	1.27272008158451e-24
ARL4C	NM_005737	200.306020819	180.349955012	18.1330629534	22.617576452	9119	7958	1260	1419	-3.222362981063	8.72161831444575	1.04550400899434e-26	2.06039641412173e-24
MAL	NM_002371+NM_022439+NM_022438+NM_022440	89.2200073894	79.7711113984	4.58347987291	3.95565950315	1146	946	90	61	-4.35264059876339	5.61614423613037	1.17941848105606e-26	2.30355172081262e-24
YPEL3	NM_031477+NM_001145524	54.3867378064	57.141917063	1.30761634252	2.61489492959	981	999	36	65	-4.83020006979906	5.51784760435667	1.49743250518734e-26	2.89879080097107e-24
C16orf54	NM_175900	92.3119517719	81.6999918375	6.66568679994	3.91276550054	2722	2335	300	159	-4.03114055554356	6.90517800461676	1.57877113312553e-26	3.02944022255448e-24
FASN	NM_004104	5.43347061782	4.24198600314	61.090223548	47.100965553	522	395	8958	6236	3.48610717982305	7.96653263085981	1.68846732811288e-26	3.21175850456254e-24
PGAM1	NM_002629	11.056045185	14.8394460549	142.054776633	145.892987174	216	281	4236	3928	3.48184784379972	7.08001689956589	3.3850430054573e-26	6.38343239175676e-24
ABCA7	NM_019112	15.2757396683	19.7038454991	1.04058234121	1.30241439537	1183	1479	123	139	-3.89398240224266	5.98833249458538	3.69722368607448e-26	6.91254428486147e-24
CXCR4	NM_003467+NM_001008540	922.720543191	363.01078796	12.1976493791	21.6969394832	16667	6367	354	543	-5.22413013215824	9.04483557947804	3.85459014767588e-26	7.14569148139067e-24
CCT5	NM_012073	19.2738655163	21.7271254613	210.924190199	170.888948701	745	814	12444	9103	3.2261485690292	8.49468783465746	5.19621149686252e-26	9.55185936923257e-24
PIK3R5	NM_001142633+NM_001251855+NM_001251853+NM_001251852+NM_001251851+NM_014308	91.5224938813	79.7310070286	7.90000346152	8.88665875883	4288	3611	579	604	-3.29137958798594	7.60306488389692	8.74266009224154e-26	1.59371407931486e-23
HNRNPAB	NM_004499+NM_031266	71.9436720809	72.6257502732	641.091138398	545.510821824	1484	1452	20184	15507	3.04241879456586	9.24261114670203	1.07633324347162e-25	1.94585038850758e-23
MIR4800+MXD4	NM_006454+NR_039964	44.0184606772	51.0917145592	1.11600050719	6.38813407876	1114	1055	73	100	-4.19225791719698	5.67624669671889	1.40135427454057e-25	2.51267416029304e-23
MTHFD2	NM_006636+NR_027405	9.09775412411	8.34781674549	88.4591259326	98.7907367746	235	210	3463	3451	3.4033988855698	6.84934277776371	1.5389994232016e-25	2.73704165711666e-23
PUS7	NM_019042	2.40197973603	1.95646603588	32.4183118698	30.6393176224	95	75	1957	1670	3.85541360497342	5.88282870011916	2.59633512241385e-25	4.58022829054863e-23
CTTN	NM_001184740+NM_005231+NM_138565	0.230972133777	0.19858374634	22.6736744966	12.9890747502	6	6	1062	586	6.50746857507086	4.65957880794647	2.80680125984862e-25	4.91190220473508e-23
SYNE1	NM_033071+NM_182961	15.237313064	11.5331962747	1.23395169424	1.35734941304	4767	3492	588	583	-3.37185349157714	7.66012021098665	3.59054230425558e-25	6.2335803893326e-23
NME1+NME1-NME2+NME2	NR_037149+NM_001018136+NM_000269+NM_198175+NM_001018137+NM_001198682+NM_002512+NM_001018139+NM_001018138	42.6666550581	45.356049576	463.42821936	439.785125496	321	412	5822	4975	3.32237379770902	7.49413991875101	3.82302948737241e-25	6.58494252254107e-23
BIN2	NM_016293	137.692646426	161.616400272	13.9048658572	17.1917310174	3458	3934	533	595	-3.26232980584747	7.50998534229338	5.35656163947107e-25	9.15428014558044e-23
ENO1+ENO1-AS1	NM_001428+NM_001201483+NR_038351	30.4255618864	31.8663167702	343.372423384	279.426042349	740	812	11222	8594	3.11313310258703	8.38654423964795	5.54791293381121e-25	9.38069578519877e-23
NDFIP2+NDFIP2-AS1	NR_046685+NM_001161407+NM_019080	0.210756836033	0.652331334985	15.7490442158	20.5032306152	11	33	1271	1494	5.4185916708878	5.43962835403376	5.57481349520384e-25	9.38069578519877e-23
SELPLG	NM_003006+NM_001206609	248.459785296	303.636020335	33.0517024222	32.290767311	7138	8571	1434	1312	-3.07203631131757	8.61627564847755	7.18898034795978e-25	1.20044996268412e-22
KLF12	NM_007249	34.7587724764	36.5360416362	4.24579421118	3.75374245399	4307	4388	803	641	-3.14972089338345	7.75515414818453	9.81011545813947e-25	1.62572936096061e-22
ZC3H6	NM_198581	12.9780857986	12.3744009781	0.604847004319	1.05190570861	1701	1572	121	190	-3.93663262890415	6.28368547516322	1.18570345183309e-24	1.95017015104127e-22
TOMM40	NM_001128917+NM_001128916+NM_006114	16.4524910285	15.378151603	177.940854653	141.989160294	319	289	5276	3799	3.33633360196997	7.23763427373289	1.50727439523536e-24	2.45023500781864e-22
HSPH1	NM_006644	8.93113246163	7.43104961761	76.2885157925	81.6187745139	372	300	4850	4685	3.27171810911138	7.32325618272191	1.51214503339665e-24	2.45023500781864e-22
CAMK4	NM_001744	86.7031702198	79.8074943748	8.2363815833	8.4095265075	2207	1969	320	295	-3.31873906122225	6.68142546819711	1.71360693468828e-24	2.75626115414015e-22
IRF8	NM_002163	2.71296054965	8.97740235909	280.555258822	191.699698715	82	263	12943	7985	5.3549975873966	8.33634208715228	2.44706950091459e-24	3.9072733819348e-22
CCT3	NM_005998+NM_001008800+NR_036564+NR_036565	23.1913776932	22.0130232279	196.599630099	185.016495952	558	506	7049	6011	3.05919298693583	7.79427236022989	2.85948878089655e-24	4.53270413638494e-22
CDC14A	NM_033312+NM_003672+NM_033313	108.176088806	92.1347042865	11.4630903234	10.2781368861	3157	2586	476	405	-3.26230091619165	7.14610416784859	3.24460475603811e-24	5.09605497566068e-22
GIMAP4	NM_018326	189.653217277	232.049682643	21.2815761258	26.7239497969	4233	5020	725	822	-3.13016588942119	7.84681813223746	3.26147518442284e-24	5.09605497566068e-22
TXK	NM_003328	41.9045724902	33.758156761	0.752181047176	1.92923223188	1387	1083	38	88	-4.82483445923422	5.83678249719447	3.31474462959544e-24	5.14255594130498e-22
ZNF652	NM_014897+NM_001145365	19.5658976019	18.416204127	1.78682786983	2.12827393196	2554	2330	356	376	-3.28980821690157	6.90989747242604	3.36792093276879e-24	5.18825847917728e-22
TNFRSF4	NM_003327	7.33657319373	5.43018565988	87.1475756391	103.927060398	92	66	1668	1796	3.90120953243216	5.82052728236224	3.45377357021934e-24	5.28330747192644e-22
GPATCH4	NM_182679+NM_015590	80.889157539	77.999584398	640.582391065	528.937773815	1918	1787	23145	17250	2.88454035720289	9.43823664725292	4.20584284463852e-24	6.38908418239359e-22
